filename,label
leptodactylus_pentadactylus_s_000004.png,frog
camion_s_000148.png,truck
tipper_truck_s_001250.png,truck
american_elk_s_001521.png,deer
station_wagon_s_000293.png,automobile
coupe_s_001735.png,automobile
cassowary_s_001300.png,bird
cow_pony_s_001168.png,horse
sea_boat_s_001584.png,ship
tabby_s_001355.png,cat
muntjac_s_001000.png,deer
arabian_s_001354.png,horse
quarter_horse_s_000672.png,horse
passerine_s_000343.png,bird
camion_s_001895.png,truck
trailer_truck_s_000335.png,truck
dumper_s_000821.png,truck
alley_cat_s_000200.png,cat
accentor_s_000677.png,bird
frog_s_001671.png,frog
capreolus_capreolus_s_000051.png,deer
tomcat_s_000772.png,cat
pickerel_frog_s_000446.png,frog
bufo_s_001242.png,frog
cassowary_s_001246.png,bird
toad_s_001748.png,frog
cat_s_000081.png,cat
chihuahua_s_000825.png,dog
alces_alces_s_000959.png,deer
stealth_bomber_s_000554.png,airplane
twinjet_s_000663.png,airplane
trucking_rig_s_001402.png,truck
auto_s_000609.png,automobile
tabby_cat_s_000983.png,cat
wapiti_s_000416.png,deer
monoplane_s_000895.png,airplane
true_cat_s_000247.png,cat
tennessee_walker_s_000486.png,horse
house_cat_s_000243.png,cat
house_cat_s_001196.png,cat
pekinese_s_001337.png,dog
ostrich_s_001368.png,bird
ostrich_s_001150.png,bird
stallion_s_000046.png,horse
station_waggon_s_000041.png,automobile
coupe_s_001944.png,automobile
estate_car_s_000580.png,automobile
accentor_s_000759.png,bird
emu_novaehollandiae_s_000795.png,bird
dive_bomber_s_001390.png,airplane
articulated_lorry_s_000131.png,truck
pekinese_s_001093.png,dog
broodmare_s_001463.png,horse
delivery_truck_s_000834.png,truck
songbird_s_001052.png,bird
emu_s_000692.png,bird
puppy_s_000115.png,dog
wagtail_s_001821.png,bird
dama_dama_s_000658.png,deer
domestic_cat_s_001970.png,cat
ambulance_s_003039.png,automobile
convertible_s_001763.png,automobile
tank_ship_s_001229.png,ship
cassowary_s_001055.png,bird
wagon_s_001142.png,automobile
police_cruiser_s_000620.png,automobile
moose_s_002308.png,deer
aerial_ladder_truck_s_000584.png,truck
saddle_horse_s_000717.png,horse
tanker_s_001350.png,ship
mongrel_s_001571.png,dog
truck_s_000835.png,truck
pickerel_frog_s_001195.png,frog
lipizzan_s_000399.png,horse
tabby_s_000074.png,cat
automobile_s_001887.png,automobile
moving_van_s_001665.png,truck
attack_aircraft_s_000153.png,airplane
domestic_cat_s_001596.png,cat
compact_car_s_000048.png,automobile
domestic_cat_s_000009.png,cat
pekingese_s_002089.png,dog
capreolus_capreolus_s_001095.png,deer
blenheim_spaniel_s_001103.png,dog
stallion_s_000040.png,horse
stud_mare_s_001672.png,horse
elk_s_000920.png,deer
lipizzan_s_001123.png,horse
fire_truck_s_002721.png,truck
elk_s_001888.png,deer
finch_s_000750.png,bird
tabby_s_000880.png,cat
banana_boat_s_001324.png,ship
twinjet_s_000591.png,airplane
shooting_brake_s_000029.png,automobile
rana_pipiens_s_000101.png,frog
station_wagon_s_001387.png,automobile
station_wagon_s_002712.png,automobile
odocoileus_hemionus_s_000221.png,deer
convertible_s_001715.png,automobile
abandoned_ship_s_000574.png,ship
true_cat_s_000114.png,cat
dustcart_s_000063.png,truck
frog_s_000797.png,frog
